YEAR,Location,Death Rate,"Deaths ",URL
2017,IA,9,293,/nchs/state-stats/states/ia.html
2017,KS,16,466,/nchs/state-stats/states/ks.html
2017,KY,16.2,730,/nchs/state-stats/states/ky.html
2017,LA,21.7,1008,/nchs/state-stats/states/la.html
2017,ME,11.7,172,/nchs/state-stats/states/me.html
2017,MD,12.3,742,/nchs/state-stats/states/md.html
2017,MA,3.7,262,/nchs/state-stats/states/ma.html
2017,MI,11.3,1138,/nchs/state-stats/states/mi.html
2017,MN,8.2,465,/nchs/state-stats/states/mn.html
2017,MS,21.5,632,/nchs/state-stats/states/ms.html
2017,MO,21.5,1307,/nchs/state-stats/states/mo.html
2017,MT,22.5,244,/nchs/state-stats/states/mt.html
2017,NE,8.3,160,/nchs/state-stats/states/ne.html
2017,NV,16.7,508,/nchs/state-stats/states/nv.html
2017,NH,10.4,146,/nchs/state-stats/states/nh.html
2017,NJ,5.3,478,/nchs/state-stats/states/nj.html
2017,NM,18.5,394,/nchs/state-stats/states/nm.html
2017,NY,3.7,772,/nchs/state-stats/states/ny.html
2017,NC,13.7,1430,/nchs/state-stats/states/nc.html
2017,ND,13.2,103,/nchs/state-stats/states/nd.html
2017,OH,13.7,1589,/nchs/state-stats/states/oh.html
2017,OK,17.2,681,/nchs/state-stats/states/ok.html
2017,OR,12.1,528,/nchs/state-stats/states/or.html
2017,PA,12.5,1636,/nchs/state-stats/states/pa.html
2017,RI,3.9,43,/nchs/state-stats/states/ri.html
2017,SC,17.7,893,/nchs/state-stats/states/sc.html
2017,SD,11.9,101,/nchs/state-stats/states/sd.html
2017,TN,18.4,1246,/nchs/state-stats/states/tn.html
2017,TX,12.4,3513,/nchs/state-stats/states/tx.html
2017,UT,14,410,/nchs/state-stats/states/ut.html
2017,VT,11.7,70,/nchs/state-stats/states/vt.html
2017,VA,11.9,1041,/nchs/state-stats/states/va.html
2017,WA,11.1,849,/nchs/state-stats/states/wa.html
2017,WV,18.6,348,/nchs/state-stats/states/wv.html
2017,WI,10.6,624,/nchs/state-stats/states/wi.html
2017,WY,18.8,113,/nchs/state-stats/states/wy.html
2016,AL,21.5,1046,/nchs/state-stats/states/al.html
2016,AK,23.3,177,/nchs/state-stats/states/ak.html
2016,AZ,15.2,1094,/nchs/state-stats/states/az.html
2016,AR,17.8,541,/nchs/state-stats/states/ar.html
2016,CA,7.9,3184,/nchs/state-stats/states/ca.html
2016,CO,14.3,812,/nchs/state-stats/states/co.html
2016,CT,4.6,172,/nchs/state-stats/states/ct.html
2016,DE,11,111,/nchs/state-stats/states/de.html
2016,District of Columbia,13.8,107,/nchs/state-stats/states/dc.html
2016,FL,12.6,2704,/nchs/state-stats/states/fl.html
2016,GA,15,1571,/nchs/state-stats/states/ga.html
2016,HI,4.5,66,/nchs/state-stats/states/hi.html
2016,ID,14.6,242,/nchs/state-stats/states/id.html
2016,IL,11.7,1490,/nchs/state-stats/states/il.html
2016,IN,15,997,/nchs/state-stats/states/in.html
